model,dv,framing,degree,treatment,reference,n_jn_points,jn_points,always_sig,never_sig,region_label
Qwen-14B,Engagement,Explicit,2,direct_gaze_explicit,baseline,0,,True,False,"Significant across entire range [0, 100]"
Qwen-14B,Engagement,Explicit,2,gaze_aversion,direct_gaze_explicit,2,26.1;34.1,False,False,"Significant for fixation 0.0-25.9%, 34.1-100.0%"
Qwen-14B,Difficulty Delta,Implicit,2,maori,baseline,1,29.3,False,False,Significant for fixation 0.0-29.1%
Qwen-14B,Difficulty Delta,Implicit,2,kaumatua,baseline,2,13.8;17.6,False,False,Significant for fixation 13.8-17.4%
Qwen-14B,Difficulty Delta,Implicit,2,kaumatua,maori,1,10.4,False,False,Significant for fixation 0.0-10.2%
Qwen-14B,Difficulty Delta,Explicit,2,gaze_aversion,baseline,3,65.7;78.2;88.2,False,False,"Significant for fixation 0.0-65.5%, 78.2-88.0%"
Qwen-14B,Difficulty Delta,Explicit,2,direct_gaze_explicit,baseline,3,67.7;77.8;99.0,False,False,"Significant for fixation 0.0-67.5%, 77.8-98.8%"
Qwen-14B,Difficulty Delta,Explicit,2,gaze_aversion,direct_gaze_explicit,2,28.7;45.7,False,False,Significant for fixation 28.7-45.5%
Qwen-32B,Engagement,Implicit,1,maori,baseline,1,51.9,False,False,Significant for fixation 51.9-100.0%
Qwen-32B,Engagement,Implicit,1,kaumatua,baseline,2,32.9;48.1,False,False,"Significant for fixation 0.0-32.7%, 48.1-100.0%"
Qwen-32B,Engagement,Implicit,1,kaumatua,maori,2,33.3;56.3,False,False,"Significant for fixation 0.0-33.1%, 56.3-100.0%"
Qwen-32B,Engagement,Explicit,1,gaze_aversion,baseline,2,80.8;83.6,False,False,"Significant for fixation 0.0-80.6%, 83.6-100.0%"
Qwen-32B,Engagement,Explicit,1,direct_gaze_explicit,baseline,2,15.2;27.5,False,False,"Significant for fixation 0.0-15.0%, 27.5-100.0%"
Qwen-32B,Engagement,Explicit,1,gaze_aversion,direct_gaze_explicit,2,70.9;72.7,False,False,"Significant for fixation 0.0-70.7%, 72.7-100.0%"
Qwen-32B,Difficulty Delta,Implicit,3,maori,baseline,3,35.1;71.1;97.0,False,False,"Significant for fixation 35.1-70.9%, 97.0-100.0%"
Qwen-32B,Difficulty Delta,Implicit,3,kaumatua,baseline,3,9.0;21.4;73.1,False,False,"Significant for fixation 0.0-8.8%, 21.4-72.9%"
Qwen-32B,Difficulty Delta,Implicit,3,kaumatua,maori,4,3.8;24.4;50.7;98.8,False,False,"Significant for fixation 0.0-3.6%, 24.4-50.5%, 98.8-100.0%"
Qwen-32B,Difficulty Delta,Explicit,3,gaze_aversion,baseline,2,59.3;62.9,False,False,"Significant for fixation 0.0-59.1%, 62.9-100.0%"
Qwen-32B,Difficulty Delta,Explicit,3,direct_gaze_explicit,baseline,5,9.8;36.9;56.1;63.7;77.8,False,False,"Significant for fixation 9.8-36.7%, 56.1-63.5%, 77.8-100.0%"
Qwen-32B,Difficulty Delta,Explicit,3,gaze_aversion,direct_gaze_explicit,2,60.7;64.5,False,False,"Significant for fixation 0.0-60.5%, 64.5-100.0%"
QwenVL-7B,Engagement,Implicit,1,maori,baseline,1,56.3,False,False,Significant for fixation 0.0-56.1%
QwenVL-7B,Engagement,Implicit,1,kaumatua,baseline,1,57.3,False,False,Significant for fixation 0.0-57.1%
QwenVL-7B,Engagement,Implicit,1,kaumatua,maori,0,,False,True,"Not significant anywhere in [0, 100]"
QwenVL-7B,Engagement,Explicit,1,gaze_aversion,baseline,2,49.5;52.7,False,False,"Significant for fixation 0.0-49.3%, 52.7-100.0%"
QwenVL-7B,Engagement,Explicit,1,direct_gaze_explicit,baseline,2,81.0;90.2,False,False,"Significant for fixation 0.0-80.8%, 90.2-100.0%"
QwenVL-7B,Engagement,Explicit,1,gaze_aversion,direct_gaze_explicit,1,3.6,False,False,Significant for fixation 3.6-100.0%
QwenVL-7B,Difficulty Delta,Implicit,2,maori,baseline,1,39.3,False,False,Significant for fixation 0.0-39.1%
QwenVL-7B,Difficulty Delta,Implicit,2,kaumatua,baseline,3,50.3;78.4;85.6,False,False,"Significant for fixation 0.0-50.1%, 78.4-85.4%"
QwenVL-7B,Difficulty Delta,Implicit,2,kaumatua,maori,1,47.1,False,False,Significant for fixation 0.0-46.9%
QwenVL-7B,Difficulty Delta,Explicit,2,gaze_aversion,baseline,2,53.1;91.4,False,False,"Significant for fixation 0.0-52.9%, 91.4-100.0%"
QwenVL-7B,Difficulty Delta,Explicit,2,direct_gaze_explicit,baseline,2,56.5;69.9,False,False,"Significant for fixation 0.0-56.3%, 69.9-100.0%"
QwenVL-7B,Difficulty Delta,Explicit,2,gaze_aversion,direct_gaze_explicit,2,39.3;74.3,False,False,"Significant for fixation 0.0-39.1%, 74.3-100.0%"
QwenVL-32B,Engagement,Implicit,1,maori,baseline,1,80.0,False,False,Significant for fixation 0.0-79.8%
QwenVL-32B,Engagement,Implicit,1,kaumatua,baseline,0,,True,False,"Significant across entire range [0, 100]"
QwenVL-32B,Engagement,Implicit,1,kaumatua,maori,2,31.9;88.6,False,False,"Significant for fixation 0.0-31.7%, 88.6-100.0%"
QwenVL-32B,Engagement,Explicit,1,gaze_aversion,baseline,2,76.6;80.2,False,False,"Significant for fixation 0.0-76.4%, 80.2-100.0%"
QwenVL-32B,Engagement,Explicit,1,direct_gaze_explicit,baseline,0,,True,False,"Significant across entire range [0, 100]"
QwenVL-32B,Engagement,Explicit,1,gaze_aversion,direct_gaze_explicit,2,67.3;70.1,False,False,"Significant for fixation 0.0-67.1%, 70.1-100.0%"
QwenVL-32B,Difficulty Delta,Implicit,2,maori,baseline,2,63.1;70.9,False,False,"Significant for fixation 0.0-62.9%, 70.9-100.0%"
QwenVL-32B,Difficulty Delta,Implicit,2,kaumatua,baseline,2,57.5;68.1,False,False,"Significant for fixation 0.0-57.3%, 68.1-100.0%"
QwenVL-32B,Difficulty Delta,Implicit,2,kaumatua,maori,2,37.1;59.3,False,False,Significant for fixation 37.1-59.1%
QwenVL-32B,Difficulty Delta,Explicit,2,gaze_aversion,baseline,2,69.5;73.1,False,False,"Significant for fixation 0.0-69.3%, 73.1-100.0%"
QwenVL-32B,Difficulty Delta,Explicit,2,direct_gaze_explicit,baseline,1,68.1,False,False,Significant for fixation 68.1-100.0%
QwenVL-32B,Difficulty Delta,Explicit,2,gaze_aversion,direct_gaze_explicit,2,71.5;75.8,False,False,"Significant for fixation 0.0-71.3%, 75.8-100.0%"
